Symbol,Sector
A,Health Care
AAPL,Information Technology
ABBV,Health Care
ABNB,Consumer Discretionary
ABT,Health Care
ACGL,Financials
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADM,Consumer Staples
ADP,Industrials
ADSK,Information Technology
AEE,Utilities
AEP,Utilities
AES,Utilities
AFL,Financials
AIG,Financials
AIZ,Financials
AJG,Financials
AKAM,Information Technology
ALB,Materials
ALGN,Health Care
ALL,Financials
ALLE,Industrials
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMZN,Consumer Discretionary
ANET,Information Technology
AON,Financials
AOS,Industrials
APA,Energy
APD,Materials
APH,Information Technology
APO,Financials
APP,Information Technology
APTV,Consumer Discretionary
ARE,Real Estate
ARES,Financials
ATO,Utilities
AVB,Real Estate
AVGO,Information Technology
AVY,Materials
AWK,Utilities
AXON,Industrials
AXP,Financials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BALL,Materials
BAX,Health Care
BBY,Consumer Discretionary
BDX,Health Care
BEN,Financials
BF.B,Consumer Staples
BG,Consumer Staples
BIIB,Health Care
BK,Financials
BKNG,Consumer Discretionary
BKR,Energy
BLDR,Industrials
BLK,Financials
BMY,Health Care
BR,Industrials
BRK.B,Financials
BRO,Financials
BSX,Health Care
BX,Financials
BXP,Real Estate
C,Financials
CAG,Consumer Staples
CAH,Health Care
CARR,Industrials
CAT,Industrials
CB,Financials
CBOE,Financials
